Dataset,Severity_ms,Keyword_ms,TemplateID_ms,IP_ms,Reconstruct_ms,Load_Time_s
BGL,773.82,216.07,85.79,464.02,74.26,97.52
Apache,34.73,3.63,7.93,29.39,5.99,0.25
Hadoop,84.88,39.49,14.25,72.73,13.14,0.42
HealthApp,87.87,49.95,23.29,123.67,19.78,10.3
Linux,3.55,3.85,2.55,13.14,2.57,0.08
Mac,76.83,46.96,10.05,61.6,8.98,1.69
Openstack,229.95,136.44,14.93,114.86,13.68,5.21
Proxifier,11.17,6.15,2.15,10.98,2.23,0.06
SSH,56.49,110.57,74.83,383.99,68.06,19.76
Zookeeper,6.81,8.2,8.05,32.44,6.84,0.14
