Dataset,Gzip,Bzip2,LZMA,Zstd,LP-Full,LP-Zstd
Apache,0.09,0.55,0.77,3.29,20.09,1.29
Hadoop,0.42,3.61,5.14,34.91,44.89,5.49
HealthApp,0.73,2.01,8.74,48.6,47.76,9.32
Linux,0.07,0.22,0.59,1.25,8.88,0.47
Mac,0.23,1.71,3.23,22.03,38.34,5.85
Openstack,0.66,7.73,13.58,111.42,107.04,51.21
Proxifier,0.04,0.26,0.32,1.72,4.75,0.58
Zookeeper,0.21,1.13,1.39,27.18,18.04,3.7
TOTAL,2.45,17.24,33.75,250.39,289.78,77.91
