Dataset,Total Logs,Matched,Mismatched,Match Rate (%)
Apache,51978,39170,12808,75.36
Hadoop,179993,179993,0,100.0
HealthApp,253395,253395,0,100.0
Linux,25567,25282,285,98.89
Mac,117283,114561,2722,97.68
Openstack,189386,189386,0,100.0
Proxifier,21320,13899,7421,65.19
Zookeeper,74273,74273,0,100.0
SSH,655147,654570,577,99.91
TOTAL,1568342,1544529,23813,98.48
