Dataset,Gzip,Bzip2,LZMA,Zstd,LogPress
Apache,21.2,29.2,28.5,28.9,23.1
Hadoop,14.7,22.5,25.7,29.4,23.4
HealthApp,10.8,13.7,15.6,16.2,11.0
Linux,11.2,14.7,20.0,19.6,11.4
Mac,11.7,18.0,24.3,26.6,18.0
OpenSSH,16.6,22.3,20.8,24.2,22.1
Openstack,12.2,15.3,15.7,16.3,12.1
Proxifier,15.7,23.6,21.0,20.9,13.7
Zookeeper,25.9,36.1,29.8,38.8,29.5
TOTAL,14.0,18.9,19.7,21.5,16.6
